condition,midi,band,center_freq_hz,level_db
flute,67,4,2005.9415210019752,52.936570395536435
flute,67,5,3049.6957311016477,36.902478352222865
flute,67,6,4580.83733887449,26.501304498950283
flute,67,7,6826.94806306872,18.583079076847792
flute,67,8,10122.85498989576,18.62615383677562
flute,67,9,14957.456015162068,11.308758990013443
flute,100,0,253.76368639181615,-10.275064561572727
flute,100,1,478.8279082512245,-7.014771619816692
flute,100,2,809.6269994405562,4.82327455331176
flute,100,3,1294.4969002249193,7.999925214405809
flute,100,4,2005.9415210019752,58.382840088450166
flute,100,5,3049.6957311016477,62.65890059490676
flute,100,6,4580.83733887449,36.05273813366613
flute,100,7,6826.94806306872,35.60465469244029
flute,100,8,10122.85498989576,31.938416070394982
flute,100,9,14957.456015162068,18.34372061574774
flute,78,0,253.76368639181615,17.7469891710215
flute,78,1,478.8279082512245,49.18115227381291
flute,78,2,809.6269994405562,60.057914736589
flute,78,3,1294.4969002249193,54.65233689582769
flute,78,4,2005.9415210019752,49.66210066179883
flute,78,5,3049.6957311016477,38.56490883564995
flute,78,6,4580.83733887449,29.425679960817746
flute,78,7,6826.94806306872,23.295034313805285
flute,78,8,10122.85498989576,25.816254994889935
flute,78,9,14957.456015162068,18.04353862271575
flute,84,0,253.76368639181615,-2.0278108958238326
flute,84,1,478.8279082512245,14.204206119475394
flute,84,2,809.6269994405562,59.109605835390454
flute,84,3,1294.4969002249193,60.257963729752724
flute,84,4,2005.9415210019752,40.49499719226864
flute,84,5,3049.6957311016477,42.98396187188672
flute,84,6,4580.83733887449,30.441638289538083
flute,84,7,6826.94806306872,27.23188415158348
flute,84,8,10122.85498989576,25.650811264410372
flute,84,9,14957.456015162068,15.487472077666599
flute,90,0,253.76368639181615,-3.4624884086051173
flute,90,1,478.8279082512245,5.032384658209398
flute,90,2,809.6269994405562,12.124122139662974
flute,90,3,1294.4969002249193,62.583261064384516
flute,90,4,2005.9415210019752,56.75203777541522
flute,90,5,3049.6957311016477,36.536340285143915
flute,90,6,4580.83733887449,34.88279080611318
flute,90,7,6826.94806306872,26.476757502900217
flute,90,8,10122.85498989576,16.592097254794428
flute,90,9,14957.456015162068,12.075928467325951
flute,59,0,253.76368639181615,54.68111314646357
flute,59,1,478.8279082512245,57.15285059490548
flute,59,2,809.6269994405562,48.6011921410191
flute,59,3,1294.4969002249193,49.66790812314143
flute,59,4,2005.9415210019752,45.385438176271734
flute,59,5,3049.6957311016477,31.05597353561712
flute,59,6,4580.83733887449,23.371166623950543
flute,59,7,6826.94806306872,16.2544559546577
flute,59,8,10122.85498989576,16.35987695585325
flute,59,9,14957.456015162068,4.046179550020602
flute,75,0,253.76368639181615,0.7250497093438348
flute,75,1,478.8279082512245,57.27291735032488
flute,75,2,809.6269994405562,56.78681338256734
flute,75,3,1294.4969002249193,46.64723602596372
flute,75,4,2005.9415210019752,53.42618307873121
flute,75,5,3049.6957311016477,29.221861483818063
flute,75,6,4580.83733887449,25.696419916347853
flute,75,7,6826.94806306872,20.933492743801494
flute,75,8,10122.85498989576,17.416971867573388
flute,75,9,14957.456015162068,12.1035813444878
flute,61,0,253.76368639181615,52.66447898393138
flute,61,1,478.8279082512245,55.80792985041139
flute,61,2,809.6269994405562,51.251640225302204
flute,61,3,1294.4969002249193,48.991064129093516
flute,61,4,2005.9415210019752,46.87044940002653
flute,61,5,3049.6957311016477,32.96418757084086
flute,61,6,4580.83733887449,24.54015335878779
flute,61,7,6826.94806306872,18.418846317745615
flute,61,8,10122.85498989576,17.1603922312094
flute,61,9,14957.456015162068,9.385392633829019
flute,89,0,253.76368639181615,-4.23952154029483
flute,89,1,478.8279082512245,5.016547380759939
flute,89,2,809.6269994405562,15.688496985319718
flute,89,3,1294.4969002249193,64.20550568324722
flute,89,4,2005.9415210019752,52.99670546765721
flute,89,5,3049.6957311016477,36.14641174206368
flute,89,6,4580.83733887449,34.64034680158151
flute,89,7,6826.94806306872,25.175275620933412
flute,89,8,10122.85498989576,16.568573985815654
flute,89,9,14957.456015162068,10.273759549964163
flute,69,0,253.76368639181615,45.576035967652444
flute,69,1,478.8279082512245,58.162266641050344
flute,69,2,809.6269994405562,54.918563430682056
flute,69,3,1294.4969002249193,49.76442048250068
flute,69,4,2005.9415210019752,49.96631841735131
flute,69,5,3049.6957311016477,36.2337653162447
flute,69,6,4580.83733887449,24.36215181621735
flute,69,7,6826.94806306872,16.66635491803855
flute,69,8,10122.85498989576,17.90312690965413
flute,69,9,14957.456015162068,6.263249881848733
flute,105,0,253.76368639181615,-7.21305410814331
flute,105,1,478.8279082512245,-6.481626736842817
flute,105,2,809.6269994405562,1.142467072227347
flute,105,3,1294.4969002249193,4.961049496523175
flute,105,4,2005.9415210019752,13.483368596834488
flute,105,5,3049.6957311016477,62.801407647789176
flute,105,6,4580.83733887449,58.606059083867954
flute,105,7,6826.94806306872,37.96442337105872
flute,105,8,10122.85498989576,34.608098209614866
flute,105,9,14957.456015162068,28.99117237671712
