stimulus,band,center_freq_hz,level_db
stim197_road_traffic.wav,12,4241.951905307196,29.572586047644602
stim197_road_traffic.wav,13,5235.940635593701,27.47264570312423
stim197_road_traffic.wav,14,6450.92686023968,29.400398607538826
stim197_road_traffic.wav,15,7936.410018027007,27.01668861646249
stim197_road_traffic.wav,16,9751.389440029025,22.91585187005277
stim197_road_traffic.wav,17,11970.364281584109,10.773121160358182
stim197_road_traffic.wav,18,14682.333533633406,-14.031183672538907
stim197_road_traffic.wav,19,17997.79594335665,-13.968255039536203
stim332_angry_shouting.wav,0,172.99803857099127,22.792252672366015
stim332_angry_shouting.wav,1,262.4970238432671,39.94701682607345
stim332_angry_shouting.wav,2,371.4957880296142,41.168028712474516
stim332_angry_shouting.wav,3,504.9942744413329,36.55466198571694
stim332_angry_shouting.wav,4,668.4924207208535,47.28607583033765
stim332_angry_shouting.wav,5,867.9901588417365,46.37820985944725
stim332_angry_shouting.wav,6,1111.4873981020623,45.86605346131984
stim332_angry_shouting.wav,7,1409.9840137866918,46.42653515127941
stim332_angry_shouting.wav,8,1773.9798868493556,44.605721798371114
stim332_angry_shouting.wav,9,2219.4748358862144,37.85811074492317
stim332_angry_shouting.wav,10,2763.46866815569,36.17744195941174
stim332_angry_shouting.wav,11,3428.9611228897634,31.973727547001687
stim332_angry_shouting.wav,12,4241.951905307196,30.397092914694596
stim332_angry_shouting.wav,13,5235.940635593701,28.02805204318688
stim332_angry_shouting.wav,14,6450.92686023968,20.868266184034955
stim332_angry_shouting.wav,15,7936.410018027007,18.47858387550835
stim332_angry_shouting.wav,16,9751.389440029025,13.505429204387823
stim332_angry_shouting.wav,17,11970.364281584109,7.147979011526889
stim332_angry_shouting.wav,18,14682.333533633406,0.6799403456434097
stim332_angry_shouting.wav,19,17997.79594335665,-11.156143583465887
stim524_cartoon_sound_effects.wav,0,172.99803857099127,34.13688142999756
stim524_cartoon_sound_effects.wav,1,262.4970238432671,48.01897814519374
stim524_cartoon_sound_effects.wav,2,371.4957880296142,45.98974208469362
stim524_cartoon_sound_effects.wav,3,504.9942744413329,44.913938255231216
stim524_cartoon_sound_effects.wav,4,668.4924207208535,44.546045539011715
stim524_cartoon_sound_effects.wav,5,867.9901588417365,44.26153624374044
stim524_cartoon_sound_effects.wav,6,1111.4873981020623,40.52041711804222
stim524_cartoon_sound_effects.wav,7,1409.9840137866918,39.10090149646617
stim524_cartoon_sound_effects.wav,8,1773.9798868493556,40.43927290010056
stim524_cartoon_sound_effects.wav,9,2219.4748358862144,41.15205338294341
stim524_cartoon_sound_effects.wav,10,2763.46866815569,36.547517161674875
stim524_cartoon_sound_effects.wav,11,3428.9611228897634,35.95409780351319
stim524_cartoon_sound_effects.wav,12,4241.951905307196,34.100207665195775
stim524_cartoon_sound_effects.wav,13,5235.940635593701,34.42190569292981
stim524_cartoon_sound_effects.wav,14,6450.92686023968,26.746746879841936
stim524_cartoon_sound_effects.wav,15,7936.410018027007,8.603154700988192
stim524_cartoon_sound_effects.wav,16,9751.389440029025,-4.3749127320346535
stim524_cartoon_sound_effects.wav,17,11970.364281584109,-14.145410923907768
stim524_cartoon_sound_effects.wav,18,14682.333533633406,-13.519628267617405
stim524_cartoon_sound_effects.wav,19,17997.79594335665,-13.064887468877258
stim411_car_power_windows.wav,0,172.99803857099127,45.035009921183786
stim411_car_power_windows.wav,1,262.4970238432671,43.12553401922038
stim411_car_power_windows.wav,2,371.4957880296142,43.81686299450082
stim411_car_power_windows.wav,3,504.9942744413329,47.99842908334647
stim411_car_power_windows.wav,4,668.4924207208535,46.369065962073336
stim411_car_power_windows.wav,5,867.9901588417365,42.8353412780791
stim411_car_power_windows.wav,6,1111.4873981020623,41.557837261949906
stim411_car_power_windows.wav,7,1409.9840137866918,35.56276707923907
stim411_car_power_windows.wav,8,1773.9798868493556,31.368211581162484
stim411_car_power_windows.wav,9,2219.4748358862144,29.65751829815991
stim411_car_power_windows.wav,10,2763.46866815569,28.87160643036479
stim411_car_power_windows.wav,11,3428.9611228897634,28.47801299192863
stim411_car_power_windows.wav,12,4241.951905307196,27.870698184234264
stim411_car_power_windows.wav,13,5235.940635593701,26.388580056711398
stim411_car_power_windows.wav,14,6450.92686023968,26.359598760290687
stim411_car_power_windows.wav,15,7936.410018027007,28.185910478828294
stim411_car_power_windows.wav,16,9751.389440029025,26.55497008474832
stim411_car_power_windows.wav,17,11970.364281584109,-2.1186208786738856
stim411_car_power_windows.wav,18,14682.333533633406,-10.136738641787124
stim411_car_power_windows.wav,19,17997.79594335665,-11.45941650487972
stim498_computer_startup_sound.wav,0,172.99803857099127,30.715179506139844
stim498_computer_startup_sound.wav,1,262.4970238432671,37.38046586520839
stim498_computer_startup_sound.wav,2,371.4957880296142,38.072806298057166
stim498_computer_startup_sound.wav,3,504.9942744413329,40.45306898645582
stim498_computer_startup_sound.wav,4,668.4924207208535,46.97430423987371
stim498_computer_startup_sound.wav,5,867.9901588417365,46.14352132921985
stim498_computer_startup_sound.wav,6,1111.4873981020623,45.068804134027694
stim498_computer_startup_sound.wav,7,1409.9840137866918,48.6060866594545
stim498_computer_startup_sound.wav,8,1773.9798868493556,42.39473867686744
stim498_computer_startup_sound.wav,9,2219.4748358862144,40.794065105481934
stim498_computer_startup_sound.wav,10,2763.46866815569,24.555664903464308
stim498_computer_startup_sound.wav,11,3428.9611228897634,20.255098672735137
stim498_computer_startup_sound.wav,12,4241.951905307196,17.88837500677316
stim498_computer_startup_sound.wav,13,5235.940635593701,21.408262629240475
stim498_computer_startup_sound.wav,14,6450.92686023968,18.78238555672511
stim498_computer_startup_sound.wav,15,7936.410018027007,11.406073061525566
stim498_computer_startup_sound.wav,16,9751.389440029025,6.134492888711442
stim498_computer_startup_sound.wav,17,11970.364281584109,-16.171581170098687
stim498_computer_startup_sound.wav,18,14682.333533633406,-15.739824690043807
stim498_computer_startup_sound.wav,19,17997.79594335665,-14.177719305500418
