onset_sec,note,velocity,offset,duration,freq
105.0,67.0,80.0,105.94791666666667,0.9479166666666714,391.9954359817492
106.0,67.0,80.0,107.42291666666667,1.4229166666666657,391.9954359817492
107.5,65.0,80.0,107.97291666666666,0.4729166666666629,349.22823143300394
108.0,63.0,80.0,108.94791666666667,0.9479166666666714,311.1269837220809
109.0,62.0,80.0,109.47291666666666,0.4729166666666629,293.66476791740763
109.5,63.0,80.0,109.97291666666666,0.4729166666666629,311.1269837220809
110.0,63.0,80.0,110.94791666666667,0.9479166666666714,311.1269837220809
111.0,60.0,80.0,111.94791666666667,0.9479166666666714,261.6255653005986
112.0,64.0,80.0,112.94791666666667,0.9479166666666714,329.62755691286986
113.0,65.0,80.0,113.94791666666667,0.9479166666666714,349.22823143300394
114.0,64.0,80.0,115.42291666666667,1.4229166666666657,329.62755691286986
115.5,60.0,80.0,115.97291666666666,0.4729166666666629,261.6255653005986
116.0,62.0,80.0,116.94791666666667,0.9479166666666714,293.66476791740763
117.0,60.0,80.0,117.94791666666667,0.9479166666666714,261.6255653005986
118.0,67.0,80.0,119.89791666666666,1.89791666666666,391.9954359817492
120.0,72.0,80.0,120.94791666666667,0.9479166666666714,523.2511306011972
121.0,71.0,80.0,121.47291666666666,0.4729166666666629,493.88330125612424
121.5,69.0,80.0,121.97291666666666,0.4729166666666629,440.0
122.0,67.0,80.0,122.47291666666666,0.4729166666666629,391.9954359817492
122.5,72.0,80.0,122.97291666666666,0.4729166666666629,523.2511306011972
123.0,69.0,80.0,123.47291666666666,0.4729166666666629,440.0
123.5,65.0,80.0,123.97291666666666,0.4729166666666629,349.22823143300394
124.0,64.0,80.0,124.94791666666667,0.9479166666666714,329.62755691286986
125.0,62.0,80.0,125.47291666666666,0.4729166666666629,293.66476791740763
125.5,65.0,80.0,125.97291666666666,0.4729166666666629,349.22823143300394
126.0,69.0,80.0,126.47291666666666,0.4729166666666629,440.0
126.5,72.0,80.0,126.97291666666666,0.4729166666666629,523.2511306011972
127.0,60.0,80.0,127.94791666666667,0.9479166666666714,261.6255653005986
128.0,72.0,80.0,128.94791666666666,0.9479166666666572,523.2511306011972
129.0,67.0,80.0,129.94791666666666,0.9479166666666572,391.9954359817492
130.0,72.0,80.0,130.94791666666666,0.9479166666666572,523.2511306011972
131.0,67.0,80.0,131.94791666666666,0.9479166666666572,391.9954359817492
132.0,69.0,80.0,132.47291666666666,0.4729166666666629,440.0
132.5,67.0,80.0,132.97291666666666,0.4729166666666629,391.9954359817492
133.0,69.0,80.0,133.47291666666666,0.4729166666666629,440.0
133.5,71.0,80.0,133.97291666666666,0.4729166666666629,493.88330125612424
134.0,72.0,80.0,134.94791666666666,0.9479166666666572,523.2511306011972
135.0,60.0,80.0,135.94791666666666,0.9479166666666572,261.6255653005986
136.0,72.0,80.0,136.94791666666666,0.9479166666666572,523.2511306011972
137.0,67.0,80.0,137.47291666666666,0.4729166666666629,391.9954359817492
137.5,72.0,80.0,137.97291666666666,0.4729166666666629,523.2511306011972
138.0,71.0,80.0,138.47291666666666,0.4729166666666629,493.88330125612424
138.5,69.0,80.0,138.97291666666666,0.4729166666666629,440.0
139.0,67.0,80.0,139.94791666666666,0.9479166666666572,391.9954359817492
140.0,69.0,80.0,140.94791666666666,0.9479166666666572,440.0
141.0,64.0,80.0,141.47291666666666,0.4729166666666629,329.62755691286986
141.5,67.0,80.0,141.97291666666666,0.4729166666666629,391.9954359817492
142.0,65.0,80.0,142.47291666666666,0.4729166666666629,349.22823143300394
142.5,69.0,80.0,142.97291666666666,0.4729166666666629,440.0
143.0,72.0,80.0,143.94791666666666,0.9479166666666572,523.2511306011972
144.0,60.0,80.0,144.94791666666666,0.9479166666666572,261.6255653005986
